user_id,item_id,rating,timestamp
10642,18921,3.0,1420067149000
8108,18921,5.0,1421106637000
6443,18921,5.0,1421196548000
11884,18921,5.0,1446417846000
463,18921,4.0,1461521956000
8517,18921,5.0,1487349396000
4037,29515,5.0,1420067325000
2468,29515,5.0,1426599617000
6916,29515,5.0,1470331435000
10642,52046,3.0,1420067575000
6155,21651,4.0,1420069184000
12721,29090,5.0,1420070214000
12721,60602,5.0,1420070238000
6146,24202,4.0,1420070346000
2955,24202,3.0,1479327823000
1755,46345,4.0,1420071724000
92,46345,4.0,1420324341000
824,46345,5.0,1420412787000
894,46345,5.0,1421376007000
7314,46345,4.0,1421698814000
4256,46345,5.0,1428503145000
19,46345,4.0,1433180497000
10363,46345,5.0,1439506262000
10460,46345,5.0,1441160305000
4622,46345,5.0,1441190061000
2741,46345,5.0,1449992215000
1320,46345,5.0,1459035970000
6851,46345,5.0,1465736140000
8298,46345,5.0,1467550200000
4676,46345,1.0,1467729154000
13235,46345,5.0,1477594194000
1135,46345,4.0,1479251510000
3262,46345,5.0,1480786246000
9384,46345,3.0,1482867848000
10243,46345,5.0,1496548307000
7257,46345,5.0,1506314490261
8523,46345,5.0,1509033505839
4801,46345,5.0,1514396059710
9,51412,3.0,1420071954000
2680,51412,5.0,1420315731000
2432,51412,5.0,1420578204000
5247,51412,5.0,1427284214000
12759,51412,5.0,1435424478000
801,51412,2.0,1444051968000
1503,51412,5.0,1452272760000
7624,48375,3.0,1420073104000
5595,48375,5.0,1429455710000
820,48375,5.0,1439341633000
8718,48375,5.0,1494763061000
826,43659,5.0,1420074433000
3175,43659,5.0,1453689255000
11220,723,5.0,1420074611000
11220,28123,5.0,1420074645000
11220,53799,5.0,1420074661000
4081,53799,5.0,1473777555000
11220,40405,5.0,1420074696000
4586,4157,2.0,1420074946000
11220,5380,5.0,1420075459000
5746,5380,5.0,1438003887000
11220,31469,5.0,1420075699000
13362,32891,4.0,1420075704000
11220,40486,5.0,1420075778000
4883,63804,5.0,1420075821000
11220,49285,5.0,1420076174000
4555,49285,4.0,1443908788000
10686,40751,4.0,1420076675000
635,1999,4.0,1420077085000
